Year,Type,X Coordinate,Y Coordinate,Full Address,Latitude,Longitude
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,531,688.61","6,992,046.15",10357 SHILOH RD 75228 DALLAS TX,32.8367739,-96.6662552
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,540,626.32","6,995,186.81",10700 WOODMEADOW PKWY 75228 DALLAS TX,32.8460671,-96.6387174
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,497,763.19","7,027,638.69",13840 FAR HILLS LN 75240 DALLAS TX,32.935468,-96.7746416
2017,BURGLARY OF BUILDING - NO FORCED ENTRY,"2,547,412.36","6,935,315.22",2195 JORDAN VALLEY RD 75253 DALLAS,32.679417,-96.618399
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,533,106.46","6,958,492.30",1868 RIVERWAY DR 75217 DALLAS TX,32.743882,-96.6634988
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,482,279.85","6,962,709.46",1201 HAINES AVE 75208 DALLAS TX,32.7578187,-96.8286759
2017,BURGLARY OF BUILDING - NO FORCED ENTRY,"2,501,458.11","6,987,368.85",5942 VANDERBILT AVE 75206 DALLAS TX,32.8246472,-96.7639661
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,517,909.54","6,977,197.86",7728 CLAREMONT DR 75228 DALLAS TX,32.7959164,-96.7121778
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,503,657.66","7,002,051.39",6266 MELODY LN 75231 DALLAS TX,32.8647947,-96.7561107
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,529,762.81","6,981,518.45",2519 JOHN WEST RD 75228 DALLAS TX,32.8078386,-96.6728752
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,497,763.19","7,027,638.69",13840 FAR HILLS LN 75240 DALLAS TX,32.935468,-96.7746416
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,437,608.04","6,923,573.09",8478 GOLDFINCH WAY 75249 DALLAS TX,32.6520214,-96.9758839
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,523,313.72","6,978,530.74",8463 BELLINGHAM DR 75228 DALLAS TX,32.7999109,-96.693575
2017,BURGLARY OF BUILDING - FORCED ENTRY,"2,490,417.34","6,938,705.84",1410 WAWEENOC AVE 75216 DALLAS TX,32.6913878,-96.8030849
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,470,509.45","7,000,604.99",3332 WEBB CHAPEL EXT 75220 DALLAS TX,32.862588,-96.8642282
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,467,316.67","6,932,730.79",3636 W RED BIRD LN 75237 DALLAS TX,32.674698,-96.8789982
2017,BURGLARY OF HABITATION (ATT),"2,534,252.55","6,967,402.70",9524 MILITARY PKWY 75227 DALLAS TX,32.7679027,-96.6583326
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,509,300.30","7,012,307.01",9505 ROYAL LN 75243 DALLAS TX,32.8944052,-96.7376912
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,499,374.31","6,938,460.86",2851 56TH ST 75241 DALLAS TX,32.6903889,-96.7742651
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,461,922.47","6,974,823.07",4516 N OTTAWA RD 75212 DALLAS TX,32.7919072,-96.8945618
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,482,279.85","6,962,709.46",1201 HAINES AVE 75208 DALLAS TX,32.7578187,-96.8286759
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,494,864.07","6,982,708.58",4721 COLES MANOR PL 75204 DALLAS TX,32.8122779,-96.7863466
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,472,042.93","6,937,939.21",4353 WOODHOLLOW DR 75237 DALLAS TX,32.6888341,-96.8620237
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,506,914.05","6,979,627.22",523 CRISTLER AVE 75223 DALLAS TX,32.8027076,-96.7471307
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,486,948.96","6,940,599.88",3916 S MARSALIS AVE 75216 DALLAS TX,32.6964307,-96.8143548
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,491,200.32","7,006,569.17",6306 STEFANI DR 75225 DALLAS TX,32.8777442,-96.7973194
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,506,237.47","6,968,000.93",3823 FRANK ST 75210 DALLAS TX,32.7716047,-96.7500017
2017,BURGLARY OF BUILDING - NO FORCED ENTRY,"2,514,883.37","7,023,438.22",9750 WALNUT ST 75243 DALLAS TX,32.9228378,-96.7204773
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,491,200.32","7,006,569.17",6306 STEFANI DR 75225 DALLAS TX,32.8777442,-96.7973194
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,506,914.05","6,979,627.22",523 CRISTLER AVE 75223 DALLAS TX,32.8027076,-96.7471307
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,530,772.69","6,998,649.70",2711 SAN DIEGO DR 75228 DALLAS TX,32.8543324,-96.6684687
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,504,800.40","7,005,468.97",6031 PINELAND DR 75231 DALLAS TX,32.8720918,-96.755062
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,474,454.06","6,951,734.72",1607 S MONTREAL AVE 75208 DALLAS TX,32.7277891,-96.8547102
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,529,762.81","6,981,518.45",2519 JOHN WEST RD 75228 DALLAS TX,32.8078386,-96.6728752
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,478,940.47","6,941,531.89",3610 LEGENDARY LN 75224 DALLAS TX,32.699712,-96.8405328
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,487,336.90","7,034,299.90",5811 BELT LINE RD 75254 DALLAS TX,32.9553965,-96.8070971
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,508,475.02","6,969,640.16",4534 COLLINS AVE 75210 DALLAS TX,32.7758917,-96.7425941
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,487,336.90","7,034,299.90",5811 BELT LINE RD 75254 DALLAS TX,32.9553965,-96.8070971
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,460,583.99","6,933,725.14",4711 PECAN MEADOW DR 75236 DALLAS TX,32.6791833,-96.9008956
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,515,512.23","7,017,979.67",11700 AUDELIA RD 75243 DALLAS TX,32.9088822,-96.7162876
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,474,867.52","6,939,131.76",4003 DRUID HILLS DR 75224 DALLAS TX,32.6930737,-96.8538799
2017,BURGLARY OF BUILDING - NO FORCED ENTRY,"2,526,995.47","6,979,436.90",3650 N BUCKNER BLVD 75228 DALLAS TX,32.8010285,-96.6812713
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,501,847.20","7,017,388.18",8305 FLOYD LAKE DR 75243 DALLAS TX,32.9074032,-96.7620909
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,505,388.87","7,020,495.61",9010 MARKVILLE DR 75243 DALLAS TX,32.9147589,-96.7504029
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,489,153.42","6,953,008.12",1431 CARSON ST 75216 DALLAS TX,32.7303013,-96.8069449
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,486,572.19","6,982,971.51",3109 DOUGLAS AVE 75219 DALLAS TX,32.81363,-96.8138322
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,468,850.81","6,943,908.89",3215 W PENTAGON PKWY 75233 DALLAS TX,32.7065939,-96.8730044
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,467,186.78","6,998,400.53",2625 COMMUNITY DR 75220 DALLAS TX,32.8571444,-96.8754214
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,470,419.68","7,001,697.36",3535 WEBB CHAPEL EXT 75220 DALLAS TX,32.86549,-96.8656976
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,537,185.18","6,956,884.80",10059 MESITA DR 75217 DALLAS TX,32.7392395,-96.6492175
2017,BURGLARY OF BUILDING - NO FORCED ENTRY,"2,517,733.51","7,017,359.09",9530 SKILLMAN ST 75243 DALLAS TX,32.9051637,-96.7104363
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,511,352.32","6,965,140.38",5332 BOURQUIN ST 75210 DALLAS TX,32.7627109,-96.7334057
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,474,045.27","6,935,587.83",5108 S HAMPTON RD 75232 DALLAS TX,32.683505,-96.8567727
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,482,755.92","6,922,026.82",8362 WILLOUGHBY BLVD 75232 DALLAS TX,32.6450111,-96.8292443
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,508,369.54","7,007,450.55",7374 ABRAMS RD 75231 DALLAS TX,32.8795087,-96.7411146
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,479,365.58","6,947,758.79",2702 WYNNEWOOD DR 75224 DALLAS TX,32.7167925,-96.8388058
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,501,199.35","7,025,994.92",13525 KIT LN 75240 DALLAS TX,32.9308401,-96.7634099
2017,BURGLARY OF BUILDING - FORCED ENTRY,"2,477,607.82","6,960,844.73",1414 KINGS HWY 75208 DALLAS TX,32.7529761,-96.8442511
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,495,764.57","6,970,474.19",835 S GOOD LATIMER EXPY 75201 DALLAS TX,32.7783105,-96.784128
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,533,265.64","6,959,525.62",9260 PALISADE DR 75217 DALLAS TX,32.7466561,-96.662935
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,441,245.68","6,925,097.99",8005 VISTA HILL LN 75249 DALLAS TX,32.6560797,-96.9639821
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,478,489.85","7,016,990.44",4207 HOCKADAY DR 75229 DALLAS TX,32.9072222,-96.8378911
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,471,597.06","7,002,969.36",9617 LARGA DR 75220 DALLAS TX,32.8688544,-96.8613329
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,502,493.26","6,939,919.21",3130 STAG RD 75241 DALLAS TX,32.6922421,-96.7631171
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,473,867.35","7,049,528.44",3702 FRANKFORD RD 75287 DALLAS TX,32.9958709,-96.8505112
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,460,825.46","6,972,470.09",4754 BERNAL DR 75212 DALLAS TX,32.7848822,-96.8986254
2017,BURGLARY OF BUILDING - NO FORCED ENTRY,"2,517,766.55","7,017,327.64",9530 SKILLMAN ST 75243 DALLAS TX,32.9051637,-96.7104363
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,499,435.96","6,946,982.59",3115 PROSPERITY AVE 75216 DALLAS TX,32.7140548,-96.7735539
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,503,845.99","6,934,776.92",3840 BASSWOOD DR 75241 DALLAS TX,32.6799956,-96.7592901
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,494,814.45","6,979,132.60",2101 N HASKELL AVE 75204 DALLAS TX,32.8025795,-96.7878836
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,461,967.32","6,973,645.97",3806 SCHOFIELD DR 75212 DALLAS TX,32.7887717,-96.8941824
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,476,171.82","6,968,585.83",2405 VILBIG RD 75212 DALLAS TX,32.7743046,-96.8481829
2017,BURGLARY OF BUILDING - FORCED ENTRY,"2,493,853.03","6,938,684.63",4735 S LANCASTER RD 75216 DALLAS TX,32.6907981,-96.7921344
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,489,095.91","6,978,802.05",2728 CEDAR SPRINGS RD 75204 DALLAS TX,32.80169,-96.8051616
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,499,364.19","6,946,992.63",3107 PROSPERITY AVE 75216 DALLAS TX,32.7139602,-96.7736794
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,490,270.77","6,976,460.57",2500 MCKINNEY AVE 75201 DALLAS TX,32.7952609,-96.8017141
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,535,558.45","6,967,376.61",9710 MILITARY PKWY 75227 DALLAS TX,32.7675903,-96.6547919
2017,BURGLARY OF BUILDING - NO FORCED ENTRY,"2,534,533.98","6,956,241.24",9511 ELOISE ST 75217 DALLAS TX,32.7376064,-96.6586858
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,480,368.55","6,984,864.91",5415 MAPLE AVE 75235 DALLAS TX,32.8180304,-96.8353139
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,498,847.93","6,997,892.67",7830 PURDUE ST 75225 DALLAS TX,32.8536503,-96.7719434
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,480,368.55","6,984,864.91",5415 MAPLE AVE 75235 DALLAS TX,32.8180304,-96.8353139
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,467,299.73","6,957,580.32",3519 MT PLEASANT ST 75211 DALLAS TX,32.7443634,-96.8782156
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,526,745.41","6,972,370.01",8064 ROTHINGTON RD 75227 DALLAS TX,32.7830317,-96.6838195
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,521,604.17","6,999,983.09",10857 RIDGE SPRING DR 75218 DALLAS TX,32.8584721,-96.6977115
2017,BURGLARY OF HABITATION (ATT),"2,513,871.33","7,015,007.43",9941 WHITEHURST DR 75243 DALLAS TX,32.9008801,-96.7216378
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,473,569.15","6,945,833.27",2435 CLIFF TEEN CT 75233 DALLAS TX,32.7118073,-96.8585324
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,487,460.39","6,975,364.87",2787 N HOUSTON ST 75201 DALLAS TX,32.7917299,-96.8115707
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,472,485.62","6,927,001.49",2717 MEADOW HARVEST LN 75237 DALLAS TX,32.6600981,-96.8624491
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,480,368.55","6,984,864.91",5415 MAPLE AVE 75235 DALLAS TX,32.8180304,-96.8353139
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,536,168.78","6,962,434.96",9830 PASEO BONITA DR 75227 DALLAS TX,32.7543913,-96.6529521
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,505,401.56","7,003,152.61",6781 EASTRIDGE DR 75231 DALLAS TX,32.8678422,-96.7510493
2017,BURGLARY OF HABITATION (ATT),"2,531,688.61","6,992,046.15",10357 SHILOH RD 75228 DALLAS TX,32.8367739,-96.6662552
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,470,419.68","7,001,697.36",3535 WEBB CHAPEL EXT 75220 DALLAS TX,32.86549,-96.8656976
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,500,864.09","6,930,933.16",3131 SIMPSON STUART RD 75241 DALLAS TX,32.6717128,-96.7700565
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,478,384.47","6,962,720.11",1130 N CLINTON AVE 75208 DALLAS TX,32.7584093,-96.8411899
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,504,051.51","7,004,089.37",8565 PARK LN 75231 DALLAS TX,32.8704915,-96.7551947
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,502,696.25","6,994,764.01",6107 BRANDEIS LN 75214 DALLAS TX,32.84501,-96.7604956
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,487,960.45","6,950,115.42",1007 E WOODIN BLVD 75216 DALLAS TX,32.7230286,-96.8105457
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,455,981.68","6,959,944.37",819 N TILLERY AVE 75211 DALLAS TX,32.7518518,-96.914307
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,456,746.55","6,961,792.73",1207 N JUSTIN AVE 75211 DALLAS TX,32.7563493,-96.911724
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,516,872.47","7,016,395.10",9340 SKILLMAN ST 75243 DALLAS TX,32.9030528,-96.7130555
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,525,616.16","6,970,863.51",4700 WIMBELTON WAY 75227 DALLAS TX,32.7799641,-96.6862008
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,501,531.89","6,931,327.76",3245 SIMPSON STUART RD 75241 DALLAS TX,32.6720913,-96.76699
2017,BURGLARY OF BUILDING - FORCED ENTRY,"2,456,078.21","7,011,415.35",11313 KLINE DR 75229 DALLAS TX,32.8929391,-96.911559
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,515,128.02","7,023,871.45",13015 AUDELIA RD 75243 DALLAS TX,32.9248672,-96.7189627
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,470,373.21","7,001,115.60",3435 WEBB CHAPEL EXT 75220 DALLAS TX,32.8637679,-96.8657586
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,513,126.75","7,014,994.40",9850 WHITEHURST DR 75243 DALLAS TX,32.8995703,-96.7236731
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,530,513.74","6,953,079.22",8611 CARDELLA AVE 75217 DALLAS TX,32.7291146,-96.6720189
2017,BURGLARY OF BUILDING - NO FORCED ENTRY,"2,483,769.66","6,961,309.27",908 N ZANG BLVD 75208 DALLAS TX,32.7542067,-96.8237158
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,515,128.02","7,023,871.45",13015 AUDELIA RD 75243 DALLAS TX,32.9248672,-96.7189627
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,495,842.74","7,033,665.80",7327 TANGLEGLEN DR 75248 DALLAS TX,32.9519556,-96.7800385
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,530,016.53","6,985,782.32",2551 KLONDIKE DR 75228 DALLAS TX,32.8190252,-96.6708494
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,527,652.50","6,960,720.89",8155 BARCLAY ST 75227 DALLAS TX,32.7501436,-96.6813603
2017,BURGLARY OF BUILDING - FORCED ENTRY,"2,497,437.75","6,962,657.79",1225 PENNSYLVANIA AVE 75215 DALLAS TX,32.7575011,-96.7787431
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,483,021.89","6,982,418.87",4619 LAKE AVE 75219 DALLAS TX,32.8121531,-96.8256006
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,499,840.82","6,991,285.92",5706 WINTON ST 75206 DALLAS TX,32.8354555,-96.7696837
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,521,311.85","6,955,948.29",7014 MOONDALE LN 75217 DALLAS TX,32.7374991,-96.7019442
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,500,132.96","7,007,006.91",9600 GOLF LAKES TRL 75231 DALLAS TX,32.8774205,-96.7664634
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,461,302.19","6,946,789.49",4643 WYOMING ST 75211 DALLAS TX,32.7149295,-96.8976682
2017,BURGLARY OF BUILDING - FORCED ENTRY,"2,465,654.66","6,938,158.22",3860 W LEDBETTER DR 75233 DALLAS TX,32.6908561,-96.884079
2017,BURGLARY OF BUILDING - FORCED ENTRY,"2,465,275.62","7,007,368.80",2861 WALNUT HILL LN 75229 DALLAS TX,32.8813071,-96.8811997
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,475,054.44","7,046,649.92",17717 VAIL ST 75287 DALLAS TX,32.9893117,-96.8479564
2017,BURGLARY OF BUILDING - FORCED ENTRY,"2,523,439.01","6,982,860.48",2820 GREENMEADOW DR 75228 DALLAS TX,32.810751,-96.6935332
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,485,633.35","7,030,336.21",14332 MONTFORT DR 75254 DALLAS TX,32.9447379,-96.8116549
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,489,787.37","6,979,404.08",3003 CARLISLE ST 75204 DALLAS TX,32.8034524,-96.8033199
2017,BURGLARY OF HABITATION INTEND TO COMMIT AGG ASSAULT,"2,536,709.93","6,998,991.53",11760 FERGUSON RD 75228 DALLAS TX,32.8542108,-96.6481427
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,500,980.80","6,949,919.04",3550 E OVERTON RD 75216 DALLAS TX,32.7214411,-96.7680948
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,538,288.32","6,959,110.84",10334 BROCKTON DR 75217 DALLAS TX,32.7451771,-96.6465454
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,509,059.23","6,964,114.10",3627 REESE DR 75210 DALLAS TX,32.7608981,-96.7409346
2017,BURGLARY OF HABITATION (ATT),"2,537,919.70","6,954,458.84",1222 N MASTERS DR 75217 DALLAS TX,32.7326514,-96.6480075
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,489,604.87","6,978,393.64",2707 COLE AVE 75204 DALLAS TX,32.8011468,-96.8040042
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,500,094.12","7,026,767.52",13643 WEALD GREEN DR 75240 DALLAS TX,32.9332319,-96.767176
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,523,850.99","6,945,736.39",7412 GAYGLEN DR 75217 DALLAS TX,32.7092889,-96.6940241
2017,BURGLARY OF BUILDING - NO FORCED ENTRY,"2,487,423.72","6,975,337.48",2787 N HOUSTON ST 75201 DALLAS TX,32.7917299,-96.8115707
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,520,754.03","6,950,067.74",559 ALCORN AVE 75217 DALLAS TX,32.721822,-96.7041885
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,489,604.87","6,978,393.64",2707 COLE AVE 75204 DALLAS TX,32.8011468,-96.8040042
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,540,249.54","6,952,996.14",10842 ADDIE RD 75217 DALLAS TX,32.7283725,-96.6394584
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,489,865.47","6,977,751.56",2717 HOWELL ST 75204 DALLAS TX,32.8001088,-96.8026994
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,492,972.56","7,053,740.57",6327 WIND MILL CIR 75252 DALLAS TX,33.0073454,-96.7903524
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,496,744.91","7,023,932.77",7373 VALLEY VIEW LN 75240 DALLAS TX,32.9252201,-96.7757502
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,520,091.52","6,980,805.74",8422 BANQUO DR 75228 DALLAS TX,32.8057227,-96.70469
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,513,599.65","7,015,003.89",9911 WHITEHURST DR 75243 DALLAS TX,32.9001211,-96.7232136
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,472,176.30","6,973,285.39",2425 BICKERS ST 75212 DALLAS TX,32.788237,-96.860656
2017,BURGLARY OF BUILDING - FORCED ENTRY,"2,466,770.28","6,927,723.82",3753 W CAMP WISDOM RD 75237 DALLAS TX,32.663161,-96.8806359
2017,BURGLARY OF BUILDING - FORCED ENTRY,"2,465,275.62","7,007,368.80",2861 WALNUT HILL LN 75229 DALLAS TX,32.8813071,-96.8811997
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,538,631.56","6,963,061.18",2567 SUMMIT LN 75227 DALLAS TX,32.75613,-96.645525
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,506,668.83","6,964,276.60",4602 ROBERTS AVE 75215 DALLAS TX,32.7609474,-96.7490415
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,519,212.81","6,997,091.89",703 KIRKWOOD DR 75218 DALLAS TX,32.8505444,-96.7065287
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,456,504.83","6,956,485.41",5303 MONMOUTH LN 75211 DALLAS TX,32.7415795,-96.9133324
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,461,302.19","6,946,789.49",4643 WYOMING ST 75211 DALLAS TX,32.7149295,-96.8976682
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,489,051.25","6,978,792.68",2728 CEDAR SPRINGS RD 75204 DALLAS TX,32.80169,-96.8051616
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,492,757.34","6,955,788.94",912 LAMBERT ST 75203 DALLAS TX,32.7381902,-96.7948484
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,489,897.86","6,977,719.44",2717 HOWELL ST 75204 DALLAS TX,32.8001088,-96.8026994
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,521,311.85","6,955,948.29",7014 MOONDALE LN 75217 DALLAS TX,32.7374991,-96.7019442
2017,BURGLARY OF HABITATION - FORCED ENTRY,"2,485,951.08","7,027,389.14",13740 MONTFORT DR 75240 DALLAS TX,32.9359805,-96.8123665
2017,BURGLARY OF HABITATION -NO FORCED ENTRY,"2,536,709.93","6,998,991.53",11760 FERGUSON RD 75228 DALLAS TX,32.8542108,-96.6481427
